mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
54609.8597,-11.53017,0.0351,-11.12461,0.0364,MaidanakSITE
54609.97223,-11.59239,0.011,-11.21429,0.0233,Mercator
54611.98301,-11.60057,0.0129,-11.20503,0.0128,Mercator
54613.78122,-11.58876,0.036,-11.23151,0.0359,MaidanakSITE
54613.9598,-11.57641,0.0086,-11.20024,0.009,Mercator
54615.6823,-11.61068,0.008,-11.22223,0.0099,HCT
54615.96361,-11.6015,0.0116,-11.22172,0.0119,Mercator
54617.83107,-11.5988,0.0415,-11.18468,0.0426,MaidanakSITE
54618.02908,-11.60038,0.0103,-11.2147,0.0108,Mercator
54622.81389,-11.57654,0.0287,-11.17829,0.0284,MaidanakSITE
54622.96014,-11.59511,0.0124,-11.21247,0.0126,Mercator
54623.96992,-11.58649,0.0127,-11.19575,0.0128,Mercator
54624.92133,-11.59975,0.0135,-11.19934,0.0137,Mercator
54625.79054,-11.63188,0.0433,-11.25828,0.043,MaidanakSITE
54625.92728,-11.58424,0.011,-11.2085,0.0111,Mercator
54626.68346,-11.59305,0.0092,-11.19621,0.0117,HCT
54626.91805,-11.57917,0.0137,-11.19308,0.0139,Mercator
54627.99019,-11.58418,0.0177,-11.21965,0.0136,Mercator
54628.75585,-11.63213,0.0588,-11.28013,0.0589,MaidanakSITE
54629.00435,-11.61679,0.0119,-11.23663,0.0123,Mercator
54629.9233,-11.57478,0.0138,-11.21549,0.014,Mercator
54630.92484,-11.5826,0.0115,-11.20088,0.0119,Mercator
54631.92294,-11.60374,0.013,-11.22728,0.0184,Mercator
54633.96038,-11.5913,0.0118,-11.23362,0.0123,Mercator
54634.76632,-11.58869,0.0441,-11.17258,0.0443,MaidanakSITE
54634.97223,-11.60866,0.0207,-11.24579,0.021,Mercator
54635.94488,-11.61055,0.0147,-11.24563,0.0153,Mercator
54636.99621,-11.55762,0.017,-11.20303,0.0178,Mercator
54637.93256,-11.58649,0.0117,-11.2462,0.0123,Mercator
54643.76005,-11.54801,0.0603,-11.30905,0.0593,MaidanakSITE
54645.74547,-11.62165,0.0387,-11.30073,0.0392,MaidanakSITE
